,问题,选项1,选项2,选项3,选项4,答案
60,以下哪句话中“兴奋”的意思(或用法)与其他句子不同。,秋天，花木凋零，没有了春天的活力，夏天的兴奋，可就在这时，一阵风吹过，大树上叶子就翩翩起舞，像舞蹈家似的，代表着我们勇于表现,兴奋剂,阳光在教室里洒下炫目的光辉，照亮着一张张快乐的、兴奋的脸，每张脸都像一朵花,他的卷发在额头前耸起，像公鸡的冠子，兴奋地挺立着,B
61,以下哪句话中“概括”的意思(或用法)与其他句子不同。,他把剧本的故事向大家概括地说了一遍,忍耐是坚忍和能耐的简称；学问是苦学和勤问的概括,讲到学习方法，我想用六个字用概括：严格、严肃、严密。这种科学的学习方法，除了向别人学习之外，更重要的是靠自己有意识的刻苦锻炼。苏步,如果有人问我：我怎样能够以简单的公式概括我的教育经验的本质时，我就回答说：要尽量多地要求一个，也要尽可能地尊重一个人,A
62,以下哪句话中“干扰”的意思(或用法)与其他句子不同。,教别人自己最需要学习，我只是不想干扰其他学生学习的状况，我才偷偷的坐在后面。但世界第一名的演讲，我一定到，我一定认真学习，毕竟他成功的经验一定比我要丰富得多,在实现理想的路途中，必须排除一切干扰，特别是要看清那些美丽的诱惑,要使内心平静，不受来自外部事物的干扰，就应该虽接触事物，却不执著、留恋于任何事物,"""防制导干扰造成的空中伪装层，让""""敌方""""远程袭来的导弹突然失去固定打击目标；乱石滩猛然间耸立起一个假的导弹阵地，可以在雷达和热象仪上像真的一样发出回波，让人真假难辨""",D
63,以下哪句话中“感受”的意思(或用法)与其他句子不同。,望着黄昏，感受黄昏，让我忧郁的心一次次在夕阳下放开，天渐渐暗淡下去，然而我却发现这时的夕阳更加红，像火烧一般，啊！黄昏，是否你不认输，即使自己已没有了当初的光彩，但还期待着努力挥洒自己的心梦,你能考虑到别人的感受，你给别人自由，你自己才会自由。在你放弃的时候，你同时必须负担更多的东西，包括你对所放弃的不言后悔,感受风寒。,冬天，尝受到了失败；冬天，感受到了生活的死气沉沉；冬天，开始怀疑世界上所谓的友谊是否真的存在；冬天，让人迷惘，伤感，惆怅。却对这些东西束手无策,C
64,以下哪句话中“纲要”的意思(或用法)与其他句子不同。,"""第一,建立健全组织机构,为实施纲要提供组织保证""",在教育方面，什么学制、备课、训导纲要、教科书籍，比起教师来，都居于次要地位,爸爸已经写好了家长会的发言纲要,依据我国在国民经济和社会发展第十一个五年规划纲要中提出的主体功能区划分基本思路，结合枣阳市实际情况，构建了土地利用分区指标,B
65,以下哪句话中“人格”的意思(或用法)与其他句子不同。,尊重是人格的体现，尊重是自我谦虚，尊重是社会和谐的基础，尊重是我们彼此的追求,除了人格以外，人生最大的损失，莫过于失掉自信心了,是使自己的人格伟大还是渺小呢？这完全仰仗这个人自己的意志。,距离和独立是对人格的尊重，最亲近的人之间也应该保持,D
66,以下哪句话中“格外”的意思(或用法)与其他句子不同。,雨中的小河也格外美丽。每当天空下起霏霏细雨，远远望去，小河就像笼罩着一抹灰色的薄雾。雨水过后，小河两岸一片新绿。树木更加挺拔，花草更加娇嫩,秋天的颜色格外不同，黄色的枫叶，红色的辣椒。蓝蓝的天，天高云淡，秋韵湖水，水清而透彻，秋虫唧唧，秋蝉鸣叫。小桥流水，夕阳灿红。在这个秋日的午后，任思绪飘远，写下秋天的诗歌,卡车装不下，格外找了一辆大车,一望无际的天空漂浮着朵朵白云，清晨的阳光普照着大地，轻风吹来，令人神清气爽。万物自由地生长着，显得格外美丽,C
67,以下哪句话中“资格”的意思(或用法)与其他句子不同。,离开后，别说祝我幸福，你有什么资格祝我幸福,资格清秀,只有强者才懂得斗争；弱者甚至失败都不够资格，而是生来就是被征服的,忙碌的人，也许懒得享受；但懒汉根本没资格享受,B
68,以下哪句话中“内阁”的意思(或用法)与其他句子不同。,五名内阁部长也将前往哥本哈根，兜售他们关于农业、绿色工程、科学研究等诸如此类领域的合作,影子内阁大臣奥斯本一直大声疾唿，反对目前仍由纳税人担保支持的金融机构重新发放膨胀的薪酬和奖金,华堂翠幕春风来，内阁金屏曙色开。,在世界各国内阁的心目中，各国的政治设施好比一些晾衣服的绳子，这些内阁的正式职责，大部分是注视着彼此晾的衣服，一有机会就夺取一些过来，全世界各国所有的领土——当然包括美国在内——都是各自从别人的晾衣绳上盗来的衣服。马克·吐,C
69,以下哪句话中“这个”的意思(或用法)与其他句子不同。,要在这个世界上获得成功，就必须坚持到底：至去世都不能放手,要想让这个世界更快乐，其实轻而易举。为什么？只要对寂寞灰心者说几句真诚的赞赏的话就可以了。虽然你可能明天就忘记了今天说的话，但接受者可能珍视一生,如果在这个世界上必须有苦难存在，那就让它存在吧。但总应该留下一线光明。至少留下一点希望的闪光，以促使人类中较高尚的部分，怀着希望，不停地奋斗，以减轻这种苦难,这个世界并不是掌握在那些嘲笑者的手中，而恰恰掌握在能够经受得住嘲笑与批评忍不断往前走的人手中,B
70,以下哪句话中“根据”的意思(或用法)与其他句子不同。,珍珠的质量等级主要根据其形状、大小、颜色、光泽等确定，珠径越大、珠层越厚则等级越高,"根据盘互,纵恣日甚。——《三国志》",对每个领导者来讲，指挥的目的是根据企业的利益，使他单位里的所有的人做出最好的贡献。亨利·法约,妞妞非常聪明，它会根据我们发出的指令坐下、趴下、站立、握手、行礼。它每次一看到我就缠着我，跟前跟后自告奋勇地充当我的小卫士,B
71,以下哪句话中“工作”的意思(或用法)与其他句子不同。,凡事都要脚踏实地地去工作，不驰于空想，不骛于虚声，惟以求真的态度作踏实的功夫。以此态度求学，则真理可明，以此态度做事，则功业可就,踏踏实实地工作，简单而阳光地生活,一个真正而且热切地工作的人总是有希望的只有怠惰才是永恒的绝望。卡莱尔,当九二一震灾的阴影逐渐褪去，重建工作也渐上轨道后，暌违多时的选战新闻又成为媒体焦点。,D
72,以下哪句话中“人工”的意思(或用法)与其他句子不同。,架设这条管线需要60个人工,人工湖边的垂柳，柳丝如挂，一束一束的，挽留着宁静，舒展着清凉；街边的直柳，很容易让人联想到美女一头秀发，妩媚动人；卫河、人民胜利渠堤岸的杨柳，柳丝细细，摇曳着温柔，舞动着和气,女招待员那两条经过人工修饰的眉毛，像一弯新月悬在额下,杭州西湖妙在天趣，苏州园林则贵在人工。在一个不大的天地里，因地制宜，沿阜垒土，种植花木，建造亭榭，由此而出现多样且幽美的画面，达到“不出城市而共获山林怡”的境界，此乃苏州园林的独特之处,A
73,以下哪句话中“巩固”的意思(或用法)与其他句子不同。,我们有无产阶级道德，我们应该发展它，巩固它，并且以这种无产阶级道德教育未来的一代。加里,从儿童进学校的第一天起，就要善于看到并不断巩固和发展他们身上所有好的东西。苏霍姆林斯,基础巩固,建立和巩固家庭的力量——是爱情，是父亲和母亲、父亲和孩子、母亲和孩子相互之间的忠诚的、纯真的爱情。苏霍姆林斯,C
74,以下哪句话中“关于”的意思(或用法)与其他句子不同。,辩证法是关于外部世界和人类思维运动的一船规律的科学。恩格,关于那个话题就谈到这里,我身在江湖，江湖却没有关于我的传说,选修关于“幸福”的心理课程。在哈佛，这一课程是最热门的课之一,B
75,以下哪句话中“主管”的意思(或用法)与其他句子不同。,为何高级主管大都在五十岁以上？因为他们已在婚姻生活里磨炼到足够的经验,主管要在工作上，不断地提出他的想法和要求,把自己当成老板或主管。在工作中见习，培养当老板或主管的格局和能力,工程质量出问题，主管领导要担负责任,D
76,以下哪句话中“一贯”的意思(或用法)与其他句子不同。,党的一贯政策是坦白从宽，抗拒从严,现金流、公司负债的百分比是我一贯最注意的环节，是任何公司的重要健康指标。任何发展公司中的业务，一定要让业绩达致正数的现金流,我一贯本钱，赚了一贯,只是很快七月就收起她娇柔的妆容，继续以一贯的热忱游走于季节的轨道。仿佛一位知礼的新嫁娘，把最温柔的一刻留于新房，跨出房门，便是个大方通达的新妇，于众人面前，率真而行,C
77,以下哪句话中“经过”的意思(或用法)与其他句子不同。,经过费力才得到的东西要比不费力就得到的东西叫能另人喜爱。一目了然的真理不费力就可以懂，懂了也感到暂时的愉快，但是很快就被遗忘了。薄伽,书到用时方恨少，事非经过不知难。陆,当每一天的太阳射进窗户时，我快乐；当经过一番冥思苦想后攻克难题时，我快乐；当看到别人因为我的帮助而露出笑脸时，我快乐。我是一个爱创造快乐的人，快乐，会因为我或者你而流动，而传播,只有经过绝境而不绝望的人，才能成功,B
